DNI,APE,TEMP_AMB,VEL_VIENTO,SMR,POTENCIA
600.4902,1.768152252,32.3,1.9227,0.851574225,746.09125,2
612.5,1.80352925,26.724,16.117,0.851593607,770.16382,2
675.61275,1.815113753,20.319,11.9125,0.852017165,840.43362,2
667.52451,1.794972869,33.046,5.5076,0.852410899,770.86489,2
624.01961,1.797742421,32.218,10.4359,0.854244437,735.26254,2
666.17647,1.792077366,36.809,5.7649,0.855577599,783.79712,2
631.37255,1.771093373,29.589,9.6892,0.855939542,780.6809,2
621.32353,1.795353647,34.021,10.7015,0.856059103,706.5937,2
632.72059,1.798350562,31.66,12.545,0.856273299,749.20747,2
690.44118,1.804559241,13.461,4.7915,0.856304328,790.26318,2
668.25981,1.79941003,32.41,3.2575,0.857079543,786.36788,2
648.16177,1.808553155,31.988,3.385,0.857257198,755.20608,2
666.17647,1.84105868,17.668,6.5949,0.858475512,967.57375,2
669.60784,1.811368434,30.783,11.1586,0.858694646,813.63447,2
687.7451,1.793235806,32.974,4.6294,0.85949791,788.47129,2
611.15196,1.818069984,16.26,9.7888,0.86014101,760.11409,2
668.25981,1.79696707,31.879,9.9865,0.862059633,778.03212,2
613.2353,1.804166387,30.717,7.8168,0.863204894,708.15176,2
686.39706,1.846835448,17.076,2.1286,0.863834176,963.99018,2
660.90686,1.795177361,28.636,2.6,0.864612996,759.80246,2
602.45098,1.806205731,32.465,1.5773,0.864665045,726.53725,2
672.91667,1.809149542,13.077,2.9268,0.866443874,787.38068,2
678.92157,1.776457891,28.016,0.0378,0.866673404,814.72519,2
691.66667,1.844234056,17.816,3.1003,0.867422391,968.66446,2
693.01471,1.797585777,35.746,9.0508,0.86764442,804.1301,2
667.52451,1.797379318,34.821,7.8513,0.867725465,793.76884,2
638.72549,1.802763617,33.407,7.0159,0.869125788,738.30085,2
670.95588,1.845772572,17.635,4.1542,0.869458289,951.36958,2
691.05392,1.821488696,20.763,9.543,0.8702011,857.26105,3
605.88235,1.779957893,29.578,9.5107,0.870613689,756.84216,2
657.47549,1.798753097,35.237,9.2206,0.871658373,777.09733,2
625.98039,1.810885522,26.696,9.3306,0.871667672,793.30139,2
642.76961,1.805332456,32.306,7.9061,0.873395933,756.21889,2
664.21569,1.822239929,16.255,11.0398,0.874133171,809.50555,2
689.09314,1.816409484,30.931,14.605,0.874655741,850.87279,3
679.65686,1.805860832,32.854,2.9892,0.874779817,802.1825,2
600.4902,1.80260471,16.156,2.8436,0.875700148,797.04088,2
652.81863,1.777869991,29.419,6.3255,0.875770122,806.23351,2
676.34804,1.847196628,17.23,2.9613,0.876146676,945.37097,2
625.2451,1.776239803,32.383,0.0493,0.876289543,773.43575,2
693.75,1.798996386,36.782,8.4141,0.87793279,822.12604,2
699.7549,1.825908368,20.648,4.8238,0.879319659,875.25699,3
653.43137,1.80722063,31.786,5.8749,0.8801594,777.33095,2
680.26961,1.800238894,33.084,9.9098,0.880636344,799.14429,2
623.28432,1.811111974,28.646,7.6039,0.880980433,770.9428,2
667.52451,1.81685106,32.185,5.6576,0.881847767,777.48677,3
620.58824,1.824716184,34.766,8.4574,0.88246571,782.39477,2
672.30392,1.815653103,13.231,5.4025,0.883621391,790.34109,2
